country,year,population,gdp,energy_per_capita,energy_per_gdp,electricity_generation,renewables_electricity,fossil_electricity,carbon_intensity_elec,renewable_ratio,fossil_ratio,gdp_per_capita,energy_efficiency_score,carbon_risk_score
Bermuda,1990,62000.0,0.0,44049.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bermuda,1991,62000.0,0.0,38592.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bermuda,1998,64000.0,0.0,34521.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,1983,440000.0,0.0,330.679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,2015,728000.0,0.0,33456.441,0.0,7.733,7.733,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bhutan,2017,746000.0,0.0,0.0,0.0,7.652,7.652,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bolivia,1911,2012084.0,1.743641984E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.5850849169319,0.0,0.0
Bolivia,1924,2449647.0,2.509914112E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.6023659735463,0.0,0.0
Bolivia,1936,2813152.0,3.095644928E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.418650680802,0.0,0.0
Bolivia,1940,2945269.0,3.876290048E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1316.1073056484825,0.0,0.0
Bolivia,1950,3082000.0,4.500281856E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1460.1823024010382,0.0,0.0
Bolivia,1954,3274000.0,4.576689152E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1397.8891728772144,0.0,0.0
Bolivia,1973,4786000.0,8.877960192E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1854.9854141245298,0.0,0.0
Bolivia,1997,7937000.0,2.330815488E10,4996.515,1.701,0.0,0.0,0.0,0.0,0.0,0.0,2936.6454428625425,4664882.399032125,0.0
Bolivia,2007,9558000.0,3.6591730688E10,6871.343,1.795,5.512,2.358,3.154,0.0,0.4277939042089986,0.5722060957910015,3828.3878100020925,5325266.208949255,0.0
Bolivia,2018,1.1353E7,0.0,0.0,0.0,9.443,2.968,6.475,0.0,0.3143068939955523,0.6856931060044478,0.0,0.0,0.0
Bosnia and Herzegovina,2007,3763000.0,3.0910529536E10,15276.153,1.86,11.277,3.961,7.316,0.0,0.35124589873193224,0.6487541012680678,8214.33152697316,2023449.852590505,0.0
Botswana,1940,282214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,1948,356031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,1978,832000.0,1.921836032E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2309.899076923077,0.0,0.0
Botswana,1987,1155000.0,5.120207872E9,5311.636,1.198,0.0,0.0,0.0,0.0,0.0,0.0,4433.080408658008,963960.608746533,0.0
Botswana,1990,1287000.0,7.787115008E9,6904.862,1.141,0.0,0.0,0.0,0.0,0.0,0.0,6050.594411810412,1127772.7213085503,0.0
Botswana,1996,1505000.0,1.1563068416E10,6548.865,0.852,0.0,0.0,0.0,0.0,0.0,0.0,7683.101937541528,1765659.9145042691,0.0
Botswana,2017,2205000.0,0.0,0.0,0.0,2.844,0.005,2.839,0.0,0.001758087201125176,0.9982419127988749,0.0,0.0,0.0
Brazil,1909,2.1945484E7,1.5075521536E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.9532490602622,0.0,0.0
Brazil,1911,2.2885956E7,1.6924502016E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.5147493947817,0.0,0.0
Brazil,1934,3.6752056E7,3.7132079104E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.3401862469952,0.0,0.0
Brazil,1940,4.1545132E7,4.5842108416E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1103.4291193490492,0.0,0.0
Brazil,1969,9.2747E7,2.76E11,4096.666,1.377,0.0,0.0,0.0,0.0,0.0,0.0,2975.8374933960126,6.7371857993793E7,0.0
Brazil,2013,2.01036E8,3.04E12,16761.084,1.108,559.372,434.429,110.298,0.0,0.7766370143661105,0.19718183963444721,15121.669750691419,1.8137251743383664E8,0.0
British Virgin Islands,1994,19000.0,0.0,10201.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
British Virgin Islands,2007,25000.0,0.0,24736.074,0.0,0.104,0.0,0.104,0.0,0.0,1.0,0.0,0.0,0.0
British Virgin Islands,2010,28000.0,0.0,25630.385,0.0,0.185,0.001,0.184,0.0,0.005405405405405406,0.9945945945945945,0.0,0.0,0.0
Brunei,1933,31067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei,1953,57000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei,1994,289000.0,0.0,50810.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei,1998,319000.0,0.0,51286.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,1904,4206327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,1906,4310557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,1934,6350801.0,1.3218618368E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2081.409631320522,0.0,0.0
Bulgaria,1938,6571382.0,1.7414291456E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2650.0196543132024,0.0,0.0
Bulgaria,1951,7311000.0,2.5540902912E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3493.489661058679,0.0,0.0
Bulgaria,1957,7689000.0,3.1552724992E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4103.61880504617,0.0,0.0
Bulgaria,1972,8609000.0,7.7852925952E10,26012.661,2.876,0.0,0.0,0.0,0.0,0.0,0.0,9043.201992333605,2992885.885530896,0.0
Burkina Faso,1981,6985000.0,1.034545152E10,251.966,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1481.0954216177524,4.105891874300501E7,0.0
Burkina Faso,2007,1.4252E7,1.9073333248E10,505.834,0.378,0.582,0.11,0.471,0.0,0.18900343642611686,0.8092783505154639,1338.2916957619984,3.770670466595761E7,0.0
Burkina Faso,2009,1.5141E7,1.9918690304E10,487.627,0.371,0.664,0.131,0.533,0.0,0.19728915662650603,0.802710843373494,1315.5465493692623,4.0848210423130795E7,0.0
Burundi,1911,1710927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi,1936,2063769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi,1937,2079786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi,1947,2246951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi,1964,3026000.0,2.721409024E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.3420436219432,0.0,0.0
Burundi,1996,6060000.0,6.039713792E9,314.082,0.315,0.0,0.0,0.0,0.0,0.0,0.0,996.6524409240924,1.9229735521296985E7,0.0
Burundi,2002,6704000.0,6.88407296E9,191.103,0.186,0.128,0.126,0.002,0.0,0.984375,0.015625,1026.8605250596659,3.602284087638603E7,0.0
Burundi,2017,1.0827E7,0.0,0.0,0.0,0.279,0.2,0.079,0.0,0.7168458781362007,0.28315412186379924,0.0,0.0,0.0
CIS,1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIS,1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIS,1986,0.0,0.0,0.0,0.0,1265.841,195.201,962.663,0.0,0.15420657096744378,0.7604928265082266,0.0,0.0,0.0
CIS,1992,0.0,0.0,0.0,0.0,1265.638,216.064,927.67,0.0,0.1707154810459231,0.7329662984202434,0.0,0.0,0.0
CIS,2005,0.0,0.0,0.0,0.0,1180.583,223.981,799.911,0.0,0.18972067190532133,0.6775559194059205,0.0,0.0,0.0
CIS,2006,0.0,0.0,0.0,0.0,1226.637,222.528,840.423,0.0,0.18141308308815077,0.6851440157112496,0.0,0.0,0.0
Cambodia,1995,1.0656E7,1.4322545664E10,581.945,0.433,0.0,0.0,0.0,0.0,0.0,0.0,1344.0827387387387,2.4611510819751006E7,0.0
Cambodia,1998,1.1601E7,1.3678419968E10,809.806,0.687,0.0,0.0,0.0,0.0,0.0,0.0,1179.0724909921557,1.6890983726966705E7,0.0
Cambodia,2009,1.4094E7,3.2224854016E10,1298.69,0.568,1.184,0.058,1.126,0.0,0.04898648648648649,0.9510135135135135,2286.4235856392793,2.4813353468495175E7,0.0
Cambodia,2014,1.5275E7,4.5967020032E10,2010.762,0.668,2.972,1.853,1.119,0.0,0.623485868102288,0.376514131897712,3009.2975471031095,2.286049767799471E7,0.0
Cameroon,1905,2325878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameroon,1923,2438235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameroon,1925,2452749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameroon,1928,2635289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameroon,1936,3139873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameroon,1966,5910000.0,7.416881152E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1254.9714301184433,0.0,0.0
Cameroon,1974,7247000.0,1.084269568E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1496.1633337932938,0.0,0.0
Cameroon,1980,8621000.0,1.4842827776E10,1570.243,0.912,0.0,0.0,0.0,0.0,0.0,0.0,1721.7060405985385,9452567.389888063,0.0
Cameroon,1992,1.2499E7,2.8710842368E10,1811.531,0.789,0.0,0.0,0.0,0.0,0.0,0.0,2297.0511535322826,1.5848937924882324E7,0.0
Cameroon,2002,1.6358E7,3.7470752768E10,1404.438,0.613,3.261,3.15,0.111,0.0,0.9659613615455381,0.03403863845446182,2290.6683438073114,2.6680247022652477E7,0.0
Cameroon,2003,1.6801E7,3.9493361664E10,1466.82,0.624,3.64,3.493,0.147,0.0,0.9596153846153845,0.04038461538461538,2350.6554171775488,2.6924477211927846E7,0.0
Canada,1906,6370374.0,3.7823922176E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5937.472772556211,0.0,0.0
Canada,1907,6551200.0,3.9899205632E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6090.365983636586,0.0,0.0
Canada,1925,9520032.0,7.07198976E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7428.535702401,0.0,0.0
